CODE;WILAYA;NOMBRE DE DAIRAS;NBR  DE COMMUNES;Superficie en KM2
1;ADRAR;11;28;439 700
2;CHLEF;13;35;4 795
3;LAGHOUAT;10;24;25 057
4;OUM ELBOUAGHI;12;29;6 783
5;BATNA;22;61;12 192
6;BEJAIA;19;52;3 268
7;BISKRA;12;33;20 986
8;BECHAR;12;21;162 200
9;BLIDA;10;25;1 575
10;BOUIRA;12;45;4 439
11;TAMANGHASSET;7;10;556 185
12;TEBESSA;12;28;14 227
13;TLEMCEN;20;53;9 061
14;TIARET;14;42;20 673
15;TIZI.OUZOU;21;67;3 568
16;ALGER;13;57;1 190
17;DJELFA;12;36;66 415
18;JIJEL;11;28;2 577
19;SETIF;20;60;6 504
20;SAIDA;6;16;6 764
21;SKIKDA;13;38;4 026
22;SIDI BEL ABBES;15;52;9 096
23;ANNABA;6;12;1 439
24;GUELMA;10;34;4 101
25;CONSTANTINE;6;12;2 187
26;MEDEA;19;64;8 866
27;MOSTAGANEM;10;32;2 175
28;M'SILA;15;47;18 718
29;MASCARA;16;47;5 941
30;OUARGLA;10;21;211 980
31;ORAN;9;26;2 121
32;EL BAYADH;8;22;78 870
33;ILLIZI;3;6;285 000
34;B.B.ARRERIDJ;10;34;4 115
35;BOUMERDES;9;32;1 356
36;AL TARF;7;24;3 339
37;TINDOUF;1;2;159 000
38;TISSEMSILT;8;22;3 152
39;EL OUED;12;30;54 573
40;KHENCHELA;8;21;9 811
41;SOUKAHRAS;10;26;4 541
42;TIPAZA;10;28;1 605
43;MILA;13;32;9 373
44;AIN DEFLA;14;36;4 891
45;NAAMA;7;12;29 950
46;AIN TEMOUCHENT;8;28;2 379
47;GHARDAIA;9;13;86 105
48;RELIZANE;13;38;4 870
